"d_r_uuid";"dws";"dns";"so";"version";"license_id"
"efc5cc84-57e1-4fdf-b869-fd44957b374c";"c0d86cc7eeafabd4fcb654f8df6fa770";"a88902c156b6142e7078c501bbd6df82";"d41d8cd98f00b204e9800998ecf8427e";"1.5rc1";-1
"3186e8de-1fa1-4bc4-8f76-3fcdebbcea1d";"6337251ef7973d63d8facd858badee53";"34b2f88203931011f88839cf43501de8";"d41d8cd98f00b204e9800998ecf8427e";"0.2.0";45
"3f503880-3a3e-4c78-9d1c-01fa18f26e9b";"97fc92119051c4be02f4d13d300bf9e9";"ab3fee970f30fedb554611f50dcb869e";"048e83c8eab254fd608b3a3918990672";"6.0.0";-1
"42d2ed6a-9540-47a8-b4c3-3d4c05318321";"d9f34c78fc961aeb52572b16ff283af0";"c068859d05279b5557e461bc90c63122";"d41d8cd98f00b204e9800998ecf8427e";"0.95";3
"679734a7-af20-465e-8c13-8339259c039e";"da43b85f5872ce2706c6cb82473f4241";"8639aaecc7123bec85a70fa3071357df";"d41d8cd98f00b204e9800998ecf8427e";"10.10.1";3
"679734a7-af20-465e-8c13-8339259c039e";"da43b85f5872ce2706c6cb82473f4241";"8639aaecc7123bec85a70fa3071357df";"d41d8cd98f00b204e9800998ecf8427e";"10.10.1";30
"679734a7-af20-465e-8c13-8339259c039e";"da43b85f5872ce2706c6cb82473f4241";"8639aaecc7123bec85a70fa3071357df";"d41d8cd98f00b204e9800998ecf8427e";"10.10.1";175
"679734a7-af20-465e-8c13-8339259c039e";"da43b85f5872ce2706c6cb82473f4241";"8639aaecc7123bec85a70fa3071357df";"d41d8cd98f00b204e9800998ecf8427e";"10.10.1";11
"c34f099e-0b6c-45ca-a299-520e96c4dbf0";"daa5b25406315caceed7a76fb8270e8b";"287ba6cbace8beb33ff86632b33cb70c";"d41d8cd98f00b204e9800998ecf8427e";"0.37.8-Snap-2014-02-22";34
"3dec9166-bd9d-45d3-acae-9c78adb1a684";"dacfa2cafa9b82e3dfbec5f07a31ce3c";"221901df809fc507e7bb7baabc956e6e";"8de31d9385be2ff7f1c2d7ead565e8a5";"2.15.2";45
"0e6f68a2-55c5-4e68-964d-18f525330f3f";"db9f5fee4c2417554c43fe3a739f87af";"6ff0c2c5d13d997ad1219e7c892689b3";"d41d8cd98f00b204e9800998ecf8427e";"netbsd_snap_20050530";3
"3dec9166-bd9d-45d3-acae-9c78adb1a684";"de01246ab2913679f1821d486add4457";"67dfcde109c95444cc7184526943d432";"0df32aa44ec914bd652b0aea5cfe8b74";"2.15.2";45
"8af515ed-25f9-47ea-922b-3b95bfc3aff5";"dea6bda41236505a2a96fa4216f420ed";"0b2ea690025e2ee612de44690b233434";"d41d8cd98f00b204e9800998ecf8427e";"UDK2010.SR1.UP1";3
"b75cf889-449a-4aae-8bc8-084203d4cc9d";"def8497b017535a36e5113064067ccb6";"2f52d0d5c90d6bc87ced93b343f6b5f0";"d41d8cd98f00b204e9800998ecf8427e";"8.3.0.Beta2";11
"268b6e7c-dbde-4393-9f62-7d75bfca0558";"db1cba6b4122e325b8cf4187c72c9009";"3abe3f56537d29e368e3494eb648d3cd";"17e0778fb7e0f7681eb1d3e74d17c0b2";"7.0.0 M6";33
"ca7099eb-00a3-455c-9d94-27fb8526b128";"01e97cea3417a1fb64092c9da02f42f7";"71cc6b1ddf2cbde2283c9a7f290013ea";"06deeedb7b87c77d4f4aa19f13bf7119";"3.0-Milestone1";22
"0c56251f-445c-4863-8939-5d96af475511";"ddc918bcd5079a7e26016c1ff35e354f";"5c9746e30b32c144b0f995df33241509";"5ab14ebe96d615de6043df84b430cde7";"jclouds-1.5.5";45
"a492efd1-3774-4358-9090-265aa9fd8540";"e34af6eca70b144946369052ceef0c0f";"dfd35bcd73d6d54371acba989fb449a0";"d41d8cd98f00b204e9800998ecf8427e";"v2.1.9";128
